"id","zone_type","legal_document","legal_province","geometry_available","location_accuracy","source_url","decision","location_result","mismatch"
"border_xa_mat","border_gate_economic_zone",NA,"Tay Ninh",FALSE,"province_only","https://www.mpi.gov.vn/portal/Pages/2023-10-26/Le-Ky-ket-hop-tac-phat-trien-khu-cong-nghiep-sinh-mcausi.aspx","included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"coastal_chan_may_lang_co","coastal_economic_zone","04/2006/QD-TTg","Thua Thien Hue",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_chu_lai","coastal_economic_zone","108/2003/QD-TTg","Quang Nam",FALSE,"province_only","https://vanban.chinhphu.vn/default.aspx?docid=11933&pageid=27160","included","unlocated_zone_boundary_province_fallback","none"
"coastal_dinh_an","coastal_economic_zone","69/2009/QD-TTg","Tra Vinh",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_dinh_vu_cat_hai","coastal_economic_zone","06/2008/QD-TTg","Hai Phong",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_dong_nam_nghe_an","coastal_economic_zone","85/2007/QD-TTg","Nghe An",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_dong_nam_quang_tri","coastal_economic_zone","42/2015/QD-TTg","Quang Tri",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_dung_quat","coastal_economic_zone","25/2010/QD-TTg","Quang Ngai",FALSE,"province_only","https://vanban.chinhphu.vn/default.aspx?docid=93583&pageid=27160","included","unlocated_zone_boundary_province_fallback","none"
"coastal_hon_la","coastal_economic_zone","79/2008/QD-TTg","Quang Binh",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_nam_can","coastal_economic_zone","66/2010/QD-TTg","Ca Mau",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_nam_phu_yen","coastal_economic_zone","54/2008/QD-TTg","Phu Yen",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_nghi_son","coastal_economic_zone","102/2006/QD-TTg","Thanh Hoa",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_nhon_hoi","coastal_economic_zone","141/2005/QD-TTg","Binh Dinh",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_ninh_co","coastal_economic_zone",NA,"Nam Dinh",FALSE,"province_only",NA,"included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"coastal_phu_quoc","coastal_economic_zone","31/2013/QD-TTg","Kien Giang",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_quang_yen","coastal_economic_zone","29/2020/QD-TTg","Quang Ninh",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_south_hai_phong","coastal_economic_zone",NA,"Hai Phong",FALSE,"province_only",NA,"included","unlocated_zone_boundary_province_fallback","zone_level_instrument_not_yet_verified"
"coastal_thai_binh","coastal_economic_zone","36/2017/QD-TTg","Thai Binh",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_van_don","coastal_economic_zone","120/2007/QD-TTg","Quang Ninh",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_van_phong","coastal_economic_zone","92/2006/QD-TTg","Khanh Hoa",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"coastal_vung_ang","coastal_economic_zone","72/2006/QD-TTg","Ha Tinh",FALSE,"province_only","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf","included","unlocated_zone_boundary_province_fallback","none"
"epz_linh_trung_1","export_processing_zone","1711/QD-TTg","Ho Chi Minh City",FALSE,"province_only","https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/12/43820/54205-1-2025145-1461711-qd-ttg.pdf","included","unlocated_zone_boundary_province_fallback","none"
"epz_linh_trung_2","export_processing_zone","1711/QD-TTg","Ho Chi Minh City",FALSE,"province_only","https://congbaocdn.chinhphu.vn/CongBaoCP/VanBan/2024/12/43820/54205-1-2025145-1461711-qd-ttg.pdf","included","unlocated_zone_boundary_province_fallback","none"
"epz_tan_thuan","export_processing_zone","194/2003/QD-BTC","Ho Chi Minh City",FALSE,"province_only","https://vanban.chinhphu.vn/default.aspx?docid=12414&pageid=27160","included","unlocated_zone_boundary_province_fallback","none"
"htp_da_nang","national_high_tech_park","1979/QD-TTg","Da Nang",FALSE,"province_only","https://vanban.chinhphu.vn/default.aspx?docid=97516&pageid=27160","included","unlocated_zone_boundary_province_fallback","none"
"htp_ho_chi_minh","national_high_tech_park","145/2002/QD-TTg","Ho Chi Minh City",FALSE,"province_only","https://vanban.chinhphu.vn/giai-doan-1986-2003-muoi-tam-nam-su-nghiep-doi-moi/iv-chinh-phu-nhiem-ky-quoc-hoi-khoa-xi-2002-2007-2960","included","unlocated_zone_boundary_province_fallback","none"
"htp_hoa_lac","national_high_tech_park","198/QD-TTg","Ha Noi",FALSE,"province_only","https://vanban.chinhphu.vn/default.aspx?docid=5711&pageid=27160","included","unlocated_zone_boundary_province_fallback","none"
