"source_id","province_vi","name_vi","developer","address","source_url","source_date","retrieved_on"
"11","Phú Thọ","Trung Hà","Ban quản lý các khu công nghiệp tỉnh Phú Thọ","xã Hồng Đà, huyện Tam Nông, tỉnh Phú Thọ","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"12","Phú Thọ","Thụy Vân","Tổng công ty xây dựng Sông Hồng","Xã thụy Vân, Tp Việt Trì, tỉnh Phú Thọ","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"13","Thái Nguyên","Yên Bình","Công ty Cổ phần Đầu tư và Phát triển Yên Bình","Xã Đồng Tiến, thị xã Phổ Yên,","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"14","Thái Nguyên","Điềm Thụy 180ha","Trung tâm phát triển hạ tầng KCN thuộc BQL KCN","Xã Điềm Thụy, huyện Phú Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"15","Thái Nguyên","Điềm Thụy 170ha","Công ty Cổ phần Đầu tư APEC Thái Nguyên","Xã Điềm Thụy, huyện Phú Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"16","Thái Nguyên","Sông Công 1","Công ty Phát triển Hạ tầng KCN Thái Nguyên","phường Bách Quang, thành phố Sông Công","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"17","Thái Nguyên","Nam Phổ Yên","Công ty TNHH MTV Ô tô Xuân Kiên Vinaxuki","xã Trung Thành, xã Thuận Thành, huyện Phổ Yên, tỉnh Thái Nguyên","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"18","Tuyên Quang","Long Bình An","Ban quản lý các KCN tỉnhTuyên Quang","Xã Đội Cấn, tp Tuyên Quang, tỉnh Tuyên Quang","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"19","Yên Bái","Phía Nam Yên Bái","Ban quản lí các KCN tỉnh Yên Bái","xã Văn Tiến, thành phố Yên Bái","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"20","Yên Bái","Âu Lâu","Ban quản lí các KCN tỉnh Yên Bái","xã Âu Lâu , thành phố Yên Bái","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"21","Yên Bái","Minh Quân","Ban quản lí các KCN tỉnh Yên Bái","xã Minh Quân, huyện Trấn Yên, tỉnh Yên Bái","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"22","Lào Cai","Đông Phố Mới","Sở Xây dựng tỉnh Lào Cai","thành phố Lào Cai","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"23","Lào Cai","Tằng loỏng","Ban Quản lý các khu công nghiệp tỉnh Lào Cai","huyện Bảo Thắng, tỉnh Lào Cai","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"24","Lai Châu","Mường So","Ban Quản lý KCN tỉnh Lai Châu","xã Mường So, huyện Phong Thổ, tỉnh Lai Châu","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"25","Bắc Ninh","Hanaka","Tập đoàn Hanaka","thị xã Từ Sơn, tỉnh Bắc Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"26","Bắc Ninh","KCN Thuận Thành 3 phân khu B","Công ty TNHH Khai Sơn","huyện Thuận Thành, tỉnh Bắc Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"27","Bắc Ninh","Đại Đồng - Hoàn Sơn","Công ty cổ phần công nghệ viễn thông Sài Gòn","Tiên Du-Từ Sơn, tỉnh Bắc Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"28","Bắc Ninh","Tiên Sơn ( GĐ 1 & mở rộng )","Tổng Công ty Thuỷ tinh và Gốm xây dựng Viglacera","Tiên Du-Từ Sơn, tỉnh Bắc Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"29","Bắc Ninh","KCN- đô thị Vsip","Công ty TNHH VSIP Bắc Ninh (Vsip Bắc Ninh)","thị xã Từ Sơn, tỉnh Bắc Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"30","Bắc Ninh","Yên Phong 1","Tổng Công ty Viglacera","huyện Yên Phong, tỉnh Bắc Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"31","Bắc Ninh","Quế Võ 2","Công ty cổ phần Đầu tư phát triển đô thị và Khu công nghiệp (IDICO)","huyện Quế Võ, tỉnh Bắc Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"32","Bắc Ninh","Quế Võ","Tổng công ty phát triển đô thị Kinh Bắc CTCP","huyện Quế Võ, tỉnh Bắc Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"33","Hà Nam","Hoà Mạc","Công ty TNHH Quản lý Khai thác KCN Hoà Mạc","huyện Duy Tiên, tỉnh Hà Nam","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"34","Hà Nam","Đồng Văn 2","Tập đoàn đầu tư và phát triển Việt Nam Công ty Cổ phần Phát triển Hà Nam","huyện Duy Tiên, tỉnh Hà Nam","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"35","Hà Nam","Châu Sơn ( gđ 1 )","Chi nhánh Công ty cổ phần Phát triển hạ tầng Vĩnh Phúc","thành phố Phủ Lý, tỉnh Hà Nam","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"36","Hà Nam","Đồng Văn 1","Công ty Phát triển hạ tầng các KCN tỉnh Hà Nam","Dhuyện Duy Tiên, tỉnh Hà Nam","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"37","Hà Nội","Quang Minh","Công ty TNHH Đầu tư và Phát triển hạ tầng Nam Đức","xã Quang Minh, huyện Mê Linh, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"38","Hà Nội","Hà Nội-Đài Tư","Công ty XD & KD CSHT Khu công nghiệp Hà Nội - Đài Tư","quận Long Biên, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"39","Hà Nội","Thạch Thất-Quốc Oai","Công ty cổ phần Đầu tư Phát triển Hà Tây","thị trấn Quốc Oai, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"40","Hà Nội","Sài Đồng B","Công ty TNHH một thành viên Hanel","huyện Gia Lâm, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"41","Hà Nội","Nội Bài","Công ty Xây dựng Công nghiệp Hà Nội và Công ty Renong-Malaysia","huyện Sóc Sơn, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"42","Hà Nội","Phú Nghĩa","Tập đoàn Phú Mỹ","huyện Chương Mỹ, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"43","Hà Nội","Khu công viên công nghệ thông tin công ty Him Lam","Công ty cổ phần Him Lam","quận Long Biên, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"44","Hà Nội","Nam Thăng Long","CTy CP Phát triển Hạ tầng - Hiệp hội Công nghiệp Hà Nội","quận Bắc Từ Liêm, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"45","Hà Nội","KCN Bắc Thăng Long","Liên doanh Công ty Sumitomo Corp","huyện Đông Anh, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"46","Hà Nội","KCNC Hòa Lạc","Ban quản lý KCNC","Km 29, Đại lộ Thăng Long, huyện Thạch Thất, Hà Nội","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"47","Hải Dương","Lai Cách","Công ty TNHH Đại Dương","huyện Cẩm Giàng, tỉnh Hải Dương","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"48","Hải Dương","Lai Vu","Công ty TNHH Một thành viên Công nghiệp Tàu thủy Lai Vu","huyện Kim Thành, tỉnh Hải Dương","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"49","Hải Dương","Tân Trường","Công ty cổ phần Đầu tư và Phát triển hạ tầng Nam Quang","xã Tân Trường, huyện Cẩm Giàng, tỉnh Hải Dương","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"50","Hải Dương","Phúc Điền","Công ty cổ phần Đầu tư và Phát triển hạ tầng Nam Quang","huyện Cẩm Giàng, tỉnh Hải Dương","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"51","Hải Dương","Đại An","Công Ty Cổ Phần Đại An","thành phố Hải Dương","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"52","Hải Dương","Đại An mở rộng","Công ty TNHH một thành viên Đầu tư phát triển hạ tầng khu công nghiệp Đại An","thành phố Hải Dương","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"53","Hải Dương","Nam Sách","Công ty cổ phần Đầu tư và Phát triển hạ tầng Nam Quang","Thành phố Hải Dương","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"54","Hải Dương","Phú Thái","Công Ty Cổ Phần Đại An","huyện Kim Thành, tỉnh Hải Dương","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"55","Hải Phòng","Nam Cầu Kiền","Công ty Cổ phần Shinec","xã Kiền Bái, huyện Thủy Nguyên, Hải Phòng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"56","Hải Phòng","Minh Phương Đình Vũ (trong KKT Đình Vũ-Cát Hải)","Công ty CP Đầu tư BĐS Minh Phương","Khu Kinh tế Đình Vũ-Cát Hải, phường Đông Hải 2, quận Hải An, thành phố Hải Phòng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"57","Hải Phòng","Đình Vũ (trong KKT Đình Vũ-Cát Hải)","Công ty Cổ phần KCN Đình Vũ","quận Hải An, thành phố Hải Phòng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"58","Hải Phòng","Đồ Sơn","- Công ty Liên doanh KCN Đồ Sơn Hải Phòng; - Công ty xây dựng và phát triển cơ sở hạ tầng Hải Phòng, - Công ty Asia Glorious Development Limited ( Hồng Kông)","phường Ngọc Xuyên, quận Đồ Sơn, Hải Phòng.","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"59","Hải Phòng","Tràng Duệ (trong KKT Đình Vũ-Cát Hải)","Công ty Cổ phần KCN Sài Gòn- Hải Phòng","xã Lê Lợi, huyện An Dương, thành phố Hải Phòng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"60","Hải Phòng","VSIP Hải Phòng (trong KKT Đình Vũ- Cát Hải)","Công ty TNHH VSIP Hải Phòng, VSIP Group","huyện Thủy Nguyên, thành phố Hải Phòng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"61","Hải Phòng","Nomura","Công ty phát triển Khu công nghiệp Nomura - Hải Phòng","huyện An Dương, thành phố Hải Phòng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"62","Hưng Yên","Minh Đức","Công ty Cổ phần đầu tư phát triển hạ tầng VNT","thuộc các xã: Minh Đức, Bạch Sam, Ngọc Lâm, huyện Mỹ Hào, tỉnh Hưng Yên","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"63","Hưng Yên","Dệt may Phố Nối","Công ty CP Phát triển hạ tầng Dệt may Phố Nối B","thuộc các xã: Nghĩa Hiệp, Liêu Xá (huyện Yên Mỹ) và xã Dị Sử (huyện Mỹ Hào), tỉnh Hưng Yên","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"64","Hưng Yên","Phố Nối A","Công ty Quản lý khai thác KCN Phố Nối A","thuộc các xã: Lạc Đạo, Chỉ Đạo, Minh Hải và Đình Dù, huyện Văn Lâm, tỉnh Hưng Yên","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"65","Hưng Yên","Thăng Long II","Công ty TNHH KCN Thăng Long II","thuộc các xã Liêu Xá (huyện Yên Mỹ) và xã Dị Sử, Phùng Chí Kiên huyện (Mỹ Hào), tỉnh Hưng Yên","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"66","Nam Định","Bảo Minh","Công ty cổ phẩn Đầu tư Vinatex","huyện Vụ Bản, tỉnh Nam Định","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"67","Nam Định","Mỹ Trung","Công ty cổ phần Quản lý IP Nhật Việt","xã Mỹ Trung (huyện Mỹ Lộc) và phường Lộc Hạ (thành phố Nam Định)","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"68","Nam Định","Hoà Xá","Công ty đầu tư và phát triển hạ tầng KCN Hoà Xá","thuộc: xã Lộc Hòa và xã Mỹ Xá (thành phố Nam Định), tỉnh Nam Định.","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"69","Ninh Bình","Phúc Sơn","Công ty CP Đầu tư xây dựng Bạch Đằng TMC - Tổng Công ty Xây dựng Bạch Đằng","Thành phố Ninh Bình - tỉnh Ninh Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"70","Ninh Bình","Tam Điệp (Giai đoạn 1)","Công ty Phát triển hạ tầng khu công nghiệp Thành Phố Tam Điệp - tỉnh Ninh Bình","","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"71","Ninh Bình","Tam Điệp 2","Công ty CP tập đoàn Phúc Lộc","Thành Phố Tam Điệp - tỉnh Ninh Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"72","Ninh Bình","Khánh Phú","Công ty phát triển hạ tầng KCN Ninh Bình","Huyện Yên Khánh, Thành phố Ninh Bình - Tỉnh Ninh Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"73","Ninh Bình","Gián Khẩu","Công ty phát triển hạ tầng KCN","Huyện Gia Viễn - tỉnh Ninh Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"74","Quảng Ninh","Đông Mai","Công ty Vega Balls Việt Nam","Phường Đông Mai, thị xã Quảng Yên","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"75","Quảng Ninh","Hải Yên","Tổng công ty Thủy tinh và Gốm xây dựng Viglacera","Phường Hải Yên, thành phố Móng Cái","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"76","Quảng Ninh","Việt Hưng","Công ty CP phát triển KCN Việt Hưng","Phường Việt Hưng, TP. Hạ Long","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"77","Quảng Ninh","Cái Lân","Công ty Xi măng và Xây dựng Quảng Ninh","Phường Bãi Cháy, Giếng Đáy, TP. Hạ Long","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"78","Quảng Ninh","Texhong Hải Hà","Công ty TNHH KCN Texhong Hải Hà Việt Nam","Huyện Hải Hà, Quảng Ninh","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"79","Thái Bình","Cầu Nghìn","Côn ty TNHH MTV phát triển đô thị và KCN Cầu Nghìn","huyện Quỳnh Phụ","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"80","Thái Bình","Gia Lễ","Công ty Cổ phần hữu hạn Phát triển Khu công nghiệp Đài Tín","Huyện Đông Hưng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"81","Thái Bình","Phúc Khánh","Công ty Cổ phần hữu hạn Phát triển Khu công nghiệp Đài Tín","Thành phố Thái Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"82","Thái Bình","Nguyễn Đức Cảnh","Trung tâm phát triển hạ tầng KCN thuộc BQL KCN","thành phố Thái Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"83","Thái Bình","Tiền Hải (chưa thành lập)","tạm thời giao cho TT Dịch vụ Quản lý môi trường","huyện Tiền Hải, tỉnh Thái Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"84","Thái Bình","Sông Trà","Công ty Cổ phần Khu công nghiệp TBS Sông Trà","thành phố Thái Bình","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"85","Vĩnh Phúc","Kim Hoa gđ1","Tổng công ty phát triển đô thị và Khu công nghiệp (IDICO)","thị xã Phúc Yên, tỉnh Vĩnh Phúc","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"86","Vĩnh Phúc","Bá Thiện","Công ty TNHH quản lý và phát triển hạ tầng COmpal(vn)","Xã Thiện Kế, Bá Hiến huyện Bình Xuyên, tỉnh Vĩnh Phúc, Việt Nam","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"87","Vĩnh Phúc","Bình Xuyên","Công ty TNHH Đầu tư xây dựng An Thịnh Vĩnh Phúc","Thị trấn Hương Canh và xã Đạo Đức, huyện Bình Xuyên, tỉnh Vĩnh Phúc","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"88","Vĩnh Phúc","Bá Thiện 2","Công ty TNHH VINA – CPK","Xã Thiện Kế, huyện Bình Xuyên, tỉnh Vĩnh Phúc","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"89","Vĩnh Phúc","Bình Xuyên 2","Công ty TNHH FU CHUAN","Xã Bá Hiến, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"90","Vĩnh Phúc","Khai Quang","Công ty Cổ phần phát triển hạ tầng Vĩnh Phúc","Phường Khai Quang, tp Vĩnh Yên tỉnh Vĩnh Phúc","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"91","Đà Nẵng","KCN Hoà Cầm","Công ty CP đầu tư KCN Hoà Cầm","Công ty CP đầu tư KCN Hoà Cầm","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"92","Đà Nẵng","KCN Liên Chiểu","Công ty CP đầu tư Sài Gòn - Đà Nẵng","Công ty CP đầu tư Sài Gòn - Đà Nẵng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"93","Đà Nẵng","KCN Hoà Khánh","Công ty Phát triên và Khai thác hạ tầng KCN Đà Nẵng","Công ty Phát triển và Khai thác Hạ tầng KCN Đà Nẵng (Daizico)","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"94","Đà Nẵng","KCN Hoà Khánh mở rộng","Công ty CP đầu tư Sài Gòn - Đà Nẵng","Công ty CP đầu tư Sài Gòn - Đà Nẵng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"95","Đà Nẵng","KCN Dịch Vụ Thủy Sản Đà Nẵng","Công ty Phát triên và Khai thác hạ tầng KCN Đà Nẵng","Công ty Phát triển và Khai thác Hạ tầng KCN Đà Nẵng (Daizico)","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"96","Đà Nẵng","KCN Đà Nẵng","Công ty Liên doanh MASSDA","phường An Hải Bắc, quận Sơn Trà, thành phố Đà Nẵng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
"97","Đà Nẵng","Khu công nghệ cao Đà Nẵng gđ 1","","thuộc 2 xã: Hòa Liên, Hòa Ninh thuộc huyện Hòa Vang, thành phố Đà Nẵng","https://vea.mae.gov.vn/khu-cong-nghiep/5867/danh-sach-cac-khu-cong-nghiep","2023-02-24","2026-09-10"
