slug,ten,tinhSlug,tinhTen,diaDiem,dienTichHa,isPlanningOnly,hasDtm,hasDocs,source_url,retrieved_on
kcn-mo-rong-yen-phong,KCN Mở rộng Yên Phong,bac-ninh,Bắc Ninh,"Thước địa phân xã Yên Trung, xã Dũng Liệt, xã Thụy Hòa, xã Tam Da, huyện Yên Phong",314,False,False,False,https://kcn-kkt.com/kcn/kcn-mo-rong-yen-phong,2026-09-10
kcn-my-thai,KCN Mỹ Thái,bac-ninh,Bắc Ninh,Huyện Lạng Giang,160,False,True,True,https://kcn-kkt.com/kcn/kcn-my-thai,2026-09-10
kcn-my-thai-xuan-huong-tan-dinh,KCN Mỹ Thái-Xuân Hương-Tân Định,bac-ninh,Bắc Ninh,Huyện Lạng Giang,200,False,False,False,https://kcn-kkt.com/kcn/kcn-my-thai-xuan-huong-tan-dinh,2026-09-10
kcn-nam-son-hap-linh,KCN Nam Sơn - Hạp Lĩnh,bac-ninh,Bắc Ninh,"Xã Lạc Vệ huyện Tiên Du và phường Nam Sơn, phường Hạp Lĩnh, TP. Bắc Ninh.",300,False,True,True,https://kcn-kkt.com/kcn/kcn-nam-son-hap-linh,2026-09-10
kcn-ngoc-ly,KCN Ngọc Lý,bac-ninh,Bắc Ninh,Huyện Tân Yên,140,False,False,False,https://kcn-kkt.com/kcn/kcn-ngoc-ly,2026-09-10
kcn-ngoc-thien,KCN Ngọc Thiên,bac-ninh,Bắc Ninh,Huyện Tân Yên,150,False,False,False,https://kcn-kkt.com/kcn/kcn-ngoc-thien,2026-09-10
kcn-phu-my-bac-ninh,KCN Phú Mỹ,bac-ninh,Bắc Ninh,"Xã Kép, xã Lạng Giang",155,True,False,False,https://kcn-kkt.com/kcn/kcn-phu-my-bac-ninh,2026-09-10
kcn-phu-my-i-bac-ninh,KCN Phú Mỹ I,bac-ninh,Bắc Ninh,"Xã Kép, xã Lạng Giang",164,True,False,False,https://kcn-kkt.com/kcn/kcn-phu-my-i-bac-ninh,2026-09-10
kcn-phuc-son-bac-ninh,KCN Phúc Sơn,bac-ninh,Bắc Ninh,Huyện Tân Yên,125,False,False,False,https://kcn-kkt.com/kcn/kcn-phuc-son-bac-ninh,2026-09-10
kcn-phuong-son,KCN Phượng Sơn,bac-ninh,Bắc Ninh,Phường Phượng Sơn,120,True,False,False,https://kcn-kkt.com/kcn/kcn-phuong-son,2026-09-10
kcn-quang-chau,KCN Quang Châu,bac-ninh,Bắc Ninh,Huyện Việt Yên,516,False,False,False,https://kcn-kkt.com/kcn/kcn-quang-chau,2026-09-10
kcn-quang-chau-2,KCN Quang Châu 2,bac-ninh,Bắc Ninh,Huyện Việt Yên,125,False,False,False,https://kcn-kkt.com/kcn/kcn-quang-chau-2,2026-09-10
kcn-quang-trung,KCN Quang Trung,bac-ninh,Bắc Ninh,Xã Quang Trung,150,True,False,False,https://kcn-kkt.com/kcn/kcn-quang-trung,2026-09-10
kcn-que-vo,KCN Quế Võ,bac-ninh,Bắc Ninh,"Phường Phương Liễu, phường Phương Map, TX. Quế Võ và phường Nam Sơn, phường Văn Dương, TP. Bắc Ninh",611,False,False,False,https://kcn-kkt.com/kcn/kcn-que-vo,2026-09-10
kcn-que-vo-ii-gd-i,KCN Quế Võ II (GD I),bac-ninh,Bắc Ninh,"Xã Ngọc Xá, xã Đào Viên, TX. Quế Võ",269,False,False,False,https://kcn-kkt.com/kcn/kcn-que-vo-ii-gd-i,2026-09-10
kcn-que-vo-ii-gd-ii,KCN Quế Võ II (GD II),bac-ninh,Bắc Ninh,"Xã Châu Phong, xã Độc Long, TX. Quế Võ",277,False,False,False,https://kcn-kkt.com/kcn/kcn-que-vo-ii-gd-ii,2026-09-10
kcn-que-vo-iii-gd-1,KCN Quế Võ III (GD 1),bac-ninh,Bắc Ninh,"Phường Việt Hùng, phường Quế Tân, phường Phủ Lương, TX. Quế Võ",281,False,False,False,https://kcn-kkt.com/kcn/kcn-que-vo-iii-gd-1,2026-09-10
kcn-que-vo-iii-gd-ii,KCN Quế Võ III (GD II),bac-ninh,Bắc Ninh,"Phường Việt Hùng, phường Quế Tân, phường Phủ Lương, TX. Quế Võ",208,False,False,False,https://kcn-kkt.com/kcn/kcn-que-vo-iii-gd-ii,2026-09-10
kcn-que-vo-mo-rong-2,KCN Quế Võ mở rộng 2,bac-ninh,Bắc Ninh,Thị xã Quế Võ,150,False,False,False,https://kcn-kkt.com/kcn/kcn-que-vo-mo-rong-2,2026-09-10
kcn-song-mai-nghia-trung,KCN Song Mai-Nghĩa Trung,bac-ninh,Bắc Ninh,"TP Bắc Giang, huyện Việt Yên",205,False,True,True,https://kcn-kkt.com/kcn/kcn-song-mai-nghia-trung,2026-09-10
kcn-song-khe-noi-hoang,KCN Sơng Khé - Nội Hoàng,bac-ninh,Bắc Ninh,"TP Bắc Giang, huyện Yên Dũng",221,False,False,False,https://kcn-kkt.com/kcn/kcn-song-khe-noi-hoang,2026-09-10
kcn-tan-hung,KCN Tân Hưng,bac-ninh,Bắc Ninh,Huyện Lạng Giang,155,False,False,False,https://kcn-kkt.com/kcn/kcn-tan-hung,2026-09-10
kcn-thai-dao-tan-an,KCN Thái Đào - Tân An,bac-ninh,Bắc Ninh,"Huyện Lạng Giang, Yên Dũng",170,False,False,False,https://kcn-kkt.com/kcn/kcn-thai-dao-tan-an,2026-09-10
kcn-thuan-thanh-i,KCN Thuận Thành I,bac-ninh,Bắc Ninh,"Xã Nghĩa Đạo, phường Trạm Lộ, phường Ninh Xá, TX. Thuận Thành",250,False,False,False,https://kcn-kkt.com/kcn/kcn-thuan-thanh-i,2026-09-10
kcn-thuan-thanh-ii,KCN Thuận Thành II,bac-ninh,Bắc Ninh,"Phường An Bình, xã Mão Điền, xã Hoài Thương, phường Hộ, TX. Thuận Thành",252,False,False,False,https://kcn-kkt.com/kcn/kcn-thuan-thanh-ii,2026-09-10
kcn-thuan-thanh-iii-phan-phu-chu-c,KCN Thuận Thành III - phần phú Chu C,bac-ninh,Bắc Ninh,Thị xã Thuận Thành,200,False,False,False,https://kcn-kkt.com/kcn/kcn-thuan-thanh-iii-phan-phu-chu-c,2026-09-10
kcn-thuan-thanh-iii-module-1,"KCN Thuận Thành III, Module 1",bac-ninh,Bắc Ninh,"Phường Thanh Khương, TX. Thuận Thành",140,False,False,False,https://kcn-kkt.com/kcn/kcn-thuan-thanh-iii-module-1,2026-09-10
kcn-thuan-thanh-iii-phan-khu-b,"KCN Thuận Thành III, Phần khu B",bac-ninh,Bắc Ninh,"Phường Thanh Khương, xã Đại Động Thành, phường Song Hồ, phường Gia Động, xã Định Tố, TX. Thuận Thành",300,False,False,False,https://kcn-kkt.com/kcn/kcn-thuan-thanh-iii-phan-khu-b,2026-09-10
kcn-thuong-lan,KCN Thương Lan,bac-ninh,Bắc Ninh,Huyện Việt Yên,150,False,False,False,https://kcn-kkt.com/kcn/kcn-thuong-lan,2026-09-10
kcn-tien-son,KCN Tiền Sơn,bac-ninh,Bắc Ninh,"Thành phố Từ Sơn, huyện Tiên Du",402,False,True,True,https://kcn-kkt.com/kcn/kcn-tien-son,2026-09-10
kcn-tu-lan-bich-dong-trung-son,KCN Tự Lạn - Bích Động - Trung Sơn,bac-ninh,Bắc Ninh,"Phường Việt Yên, Vân Hà, Tự Lạn",150,True,False,False,https://kcn-kkt.com/kcn/kcn-tu-lan-bich-dong-trung-son,2026-09-10
kcn-van-trung,KCN Văn Trung,bac-ninh,Bắc Ninh,"Huyện Việt Yên, Yên Dũng",388,False,False,False,https://kcn-kkt.com/kcn/kcn-van-trung,2026-09-10
kcn-viet-han,KCN Việt Hàn,bac-ninh,Bắc Ninh,"xã Hồng Thái, Tăng Tiến và thị trấn Nếnh, huyện Việt Yên",198,False,False,False,https://kcn-kkt.com/kcn/kcn-viet-han,2026-09-10
kcn-vsip,KCN VSIP,bac-ninh,Bắc Ninh,"Xã Đại Đông, huyện Tiên Du và xã Phú Chân, thành phố Từ Sơn",485,False,False,False,https://kcn-kkt.com/kcn/kcn-vsip,2026-09-10
kcn-xuan-cam-i,KCN Xuân Cẩm I (Hương Lâm - Mai Đình),bac-ninh,Bắc Ninh,Xã Xuân Cẩm,160,True,False,False,https://kcn-kkt.com/kcn/kcn-xuan-cam-i,2026-09-10
kcn-xuan-cam-iii,KCN Xuân Cẩm III,bac-ninh,Bắc Ninh,Xã Xuân Cẩm,145,True,False,False,https://kcn-kkt.com/kcn/kcn-xuan-cam-iii,2026-09-10
kcn-yen-phong,KCN Yên Phong,bac-ninh,Bắc Ninh,"Xã Long Châu, xã Đông Tiến, xã Yên Trung, xã Đông Phong, huyện Yên Phong.",345,False,False,False,https://kcn-kkt.com/kcn/kcn-yen-phong,2026-09-10
kcn-yen-phong-ii-b-vsip-2,KCN Yên Phong II - B (VSIP 2),bac-ninh,Bắc Ninh,"Xã Hòa Tiến, xã Tam Giang, xã Yên Phụ, thị trấn Chờ, huyện Yên Phong",282,False,False,False,https://kcn-kkt.com/kcn/kcn-yen-phong-ii-b-vsip-2,2026-09-10
kcn-yen-phong-ii-c,KCN Yên Phong II - C,bac-ninh,Bắc Ninh,"Xã Đông Tiến, xã Tâm Giang, xã Trung Nghĩa, thị trấn Chờ, huyện Yên Phong",219,False,False,False,https://kcn-kkt.com/kcn/kcn-yen-phong-ii-c,2026-09-10
kcn-yen-phong-ii-a,KCN Yên Phong II- A,bac-ninh,Bắc Ninh,"Xã Tam Giang, xã Hòa Tiến, huyện Yên Phong",151,False,True,True,https://kcn-kkt.com/kcn/kcn-yen-phong-ii-a,2026-09-10
kcn-yen-son,KCN Yên Sơn,bac-ninh,Bắc Ninh,Huyện Lục Nam,155,False,False,False,https://kcn-kkt.com/kcn/kcn-yen-son,2026-09-10
kcn-do-thi-dich-vu-tu-lan-bich-son-trung-son,KCN- Đô thị - Dịch vụ Tự Lan - Bích Sơn - Trung Sơn,bac-ninh,Bắc Ninh,Huyện Việt Yên,150,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-tu-lan-bich-son-trung-son,2026-09-10
kcn-do-thi-dich-vu-yen-lu,KCN-Dō thị-Dịch vụ Yên Lư,bac-ninh,Bắc Ninh,Huyện Yên Dũng,600,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-yen-lu,2026-09-10
kcn-do-thi-dich-vu-yen-son-bac-lung-mo-rong-190ha,KCN-Dō thị-Dịch vụ Yên Sơn - Bắc Lũng - Mở rộng: 190ha,bac-ninh,Bắc Ninh,Huyện Lục Nam,490,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-yen-son-bac-lung-mo-rong-190ha,2026-09-10
kcn-do-thi-dich-vu-xuan-cam-huong-lam,KCN-Đô Thị - Dịch vụ Xuân Cẩm - Hương Lâm,bac-ninh,Bắc Ninh,Huyện Hiệp Hòa,224,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-xuan-cam-huong-lam,2026-09-10
kcn-do-thi-dich-vu-chau-minh-bac-ly-huong-lam,KCN-Đô thị-Dịch vụ Châu Minh - Bắc Lý-Hương Lâm,bac-ninh,Bắc Ninh,Huyện Hiệp Hòa,211,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-chau-minh-bac-ly-huong-lam,2026-09-10
kcn-do-thi-dich-vu-doc-giang,KCN-Đô thị-Dịch vụ Độc Giang,bac-ninh,Bắc Ninh,Huyện Yên Dũng,285,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-doc-giang,2026-09-10
kcn-do-thi-dich-vu-doc-lap-thuong-lan-ngoc-thien,KCN-Đô thị-Dịch vụ Độc Lập-Thương Lan-Ngọc Thiên,bac-ninh,Bắc Ninh,"Huyện Việt Yên, Tân Yên",200,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-doc-lap-thuong-lan-ngoc-thien,2026-09-10
kcn-do-thi-dich-vu-dong-phuc,KCN-Đô thị-Dịch vụ Đông Phúc,bac-ninh,Bắc Ninh,Huyện Yên Dũng,360,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-dong-phuc,2026-09-10
kcn-do-thi-dich-vu-hoa-yen,KCN-Đô thị-Dịch vụ Hòa Yên,bac-ninh,Bắc Ninh,"Huyện Hiệp Hòa, Việt Yên",256,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-hoa-yen,2026-09-10
kcn-do-thi-dich-vu-nghia-hung,KCN-Đô thị-Dịch vụ Nghĩa Hưng,bac-ninh,Bắc Ninh,Huyện Lạng Giang,150,False,False,False,https://kcn-kkt.com/kcn/kcn-do-thi-dich-vu-nghia-hung,2026-09-10
khu-cong-nghiep-gia-binh,Khu công nghiệp Gia Bình,bac-ninh,Bắc Ninh,Tỉnh Bắc Ninh,306,False,False,False,https://kcn-kkt.com/kcn/khu-cong-nghiep-gia-binh,2026-09-10
khu-cong-nghiep-yen-lu,Khu công nghiệp Yên Lự,bac-ninh,Bắc Ninh,Tỉnh Bắc Giang,377,False,True,True,https://kcn-kkt.com/kcn/khu-cong-nghiep-yen-lu,2026-09-10
kcn-bac-lieu,KCN Bạc Liêu,ca-mau,Cà Mau,Thành phố Bạc Liêu,500,False,False,False,https://kcn-kkt.com/kcn/kcn-bac-lieu,2026-09-10
kcn-hoa-trung,KCN Hòa Trung,ca-mau,Cà Mau,Huyện Cái Nước,326,False,False,False,https://kcn-kkt.com/kcn/kcn-hoa-trung,2026-09-10
kcn-khanh-an,KCN Khánh An,ca-mau,Cà Mau,Huyện U Minh,236,False,False,False,https://kcn-kkt.com/kcn/kcn-khanh-an,2026-09-10
kcn-khanh-an-mo-rong-kcn-tac-thu,KCN Khánh An mở rộng (KCN Tắc Thủ),ca-mau,Cà Mau,Huyện U Minh,345,False,False,False,https://kcn-kkt.com/kcn/kcn-khanh-an-mo-rong-kcn-tac-thu,2026-09-10
kcn-lang-tram,KCN Lăng Trâm,ca-mau,Cà Mau,Thị xã Giá Rai,100,False,False,False,https://kcn-kkt.com/kcn/kcn-lang-tram,2026-09-10
kcn-ninh-quoi,KCN Ninh Quới,ca-mau,Cà Mau,Huyện Hồng Dân,257,False,False,False,https://kcn-kkt.com/kcn/kcn-ninh-quoi,2026-09-10
kcn-song-doc-phia-bac,KCN Sông Độc phía Bắc,ca-mau,Cà Mau,Huyện Trần Văn Thời,45,False,False,False,https://kcn-kkt.com/kcn/kcn-song-doc-phia-bac,2026-09-10
kcn-song-doc-phia-nam,KCN Sông Độc phía Nam,ca-mau,Cà Mau,Huyện Trần Văn Thời,100,False,False,False,https://kcn-kkt.com/kcn/kcn-song-doc-phia-nam,2026-09-10
kcn-tan-thuan,KCN Tân Thuận,ca-mau,Cà Mau,Huyện Dầm Dơi,343,False,False,False,https://kcn-kkt.com/kcn/kcn-tan-thuan,2026-09-10
kcn-tra-kha,KCN Trà Kha,ca-mau,Cà Mau,Thành phố Bạc Liêu,60,False,False,False,https://kcn-kkt.com/kcn/kcn-tra-kha,2026-09-10
kcn-trong-khu-kinh-te-nam-can,KCN trong Khu Kinh tế Năm Căn,ca-mau,Cà Mau,Trong Khu Kinh tế Năm Căn,156,False,False,False,https://kcn-kkt.com/kcn/kcn-trong-khu-kinh-te-nam-can,2026-09-10
kcn-cang-hon-khoai,Khu công nghiệp / cảng Hòn Khoai,ca-mau,Cà Mau,Ngọc Hiển (Cà Mau cũ),,True,False,False,https://kcn-kkt.com/kcn/kcn-cang-hon-khoai,2026-09-10
kcn-lan-bien-dat-mui,Khu công nghiệp lấn biển Đất Mũi,ca-mau,Cà Mau,Đất Mũi; Ngọc Hiển (Cà Mau cũ),,True,False,False,https://kcn-kkt.com/kcn/kcn-lan-bien-dat-mui,2026-09-10
kcn-tac-thu,Khu công nghiệp Tắc Thủ (mở rộng Khánh An),ca-mau,Cà Mau,Khánh An; U Minh (Cà Mau cũ),345,True,False,False,https://kcn-kkt.com/kcn/kcn-tac-thu,2026-09-10
kcn-chu-trinh,KCN Chu Trình,cao-bang,Cao Bằng,TP. Cao Bằng,200,False,False,False,https://kcn-kkt.com/kcn/kcn-chu-trinh,2026-09-10
kcn-chu-trinh-2,KCN Chu Trình 2,cao-bang,Cao Bằng,TP. Cao Bằng,150,False,False,False,https://kcn-kkt.com/kcn/kcn-chu-trinh-2,2026-09-10
kcn-dong-khe,KCN Động Khê,cao-bang,Cao Bằng,Huyện Thạch An,150,False,False,False,https://kcn-kkt.com/kcn/kcn-dong-khe,2026-09-10
kcn-tien-thanh-cao-bang,KCN Tiên Thành,cao-bang,Cao Bằng,Huyện Quảng Hòa,150,False,False,False,https://kcn-kkt.com/kcn/kcn-tien-thanh-cao-bang,2026-09-10
kcn-an-nghiep,KCN An Nghiệp,can-tho,Cần Thơ,"Huyện Châu Thành, thành phố Sóc Trăng",243,False,False,False,https://kcn-kkt.com/kcn/kcn-an-nghiep,2026-09-10
kcn-an-nghiep-mo-rong,KCN An Nghiệp (mở rộng),can-tho,Cần Thơ,"Huyện Châu Thành, thành phố Sóc Trăng",169,False,False,False,https://kcn-kkt.com/kcn/kcn-an-nghiep-mo-rong,2026-09-10
kcn-binh-thanh,KCN Bình Thành,can-tho,Cần Thơ,Huyện Phụng Hiệp,1250,False,False,False,https://kcn-kkt.com/kcn/kcn-binh-thanh,2026-09-10
kcn-cong-nghe-cao-quan-o-mon,KCN công nghệ cao quận Ô Môn,can-tho,Cần Thơ,Quận Ô Môn,250,False,False,False,https://kcn-kkt.com/kcn/kcn-cong-nghe-cao-quan-o-mon,2026-09-10
kcn-co-do-thoi-lai,KCN Cờ đỏ - Thới Lai,can-tho,Cần Thơ,Huyện Cờ Đỏ và huyện Thới Lai,1070,False,False,False,https://kcn-kkt.com/kcn/kcn-co-do-thoi-lai,2026-09-10
kcn-dai-ngai,KCN Đại Ngài,can-tho,Cần Thơ,Huyện Long Phú,196,False,False,False,https://kcn-kkt.com/kcn/kcn-dai-ngai,2026-09-10
kcn-dai-ngai-2,KCN Đại Ngãi 2,can-tho,Cần Thơ,Huyện Long Phú,250,False,False,False,https://kcn-kkt.com/kcn/kcn-dai-ngai-2,2026-09-10
kcn-dong-phu,KCN Đông Phú,can-tho,Cần Thơ,Huyện Châu Thành,120,False,False,False,https://kcn-kkt.com/kcn/kcn-dong-phu,2026-09-10
kcn-dong-phu-2,KCN Đông Phú 2,can-tho,Cần Thơ,Huyện Châu Thành,234,False,False,False,https://kcn-kkt.com/kcn/kcn-dong-phu-2,2026-09-10
kcn-hung-phu-1,KCN Hưng Phú 1,can-tho,Cần Thơ,Quận Cái Răng,262,False,False,False,https://kcn-kkt.com/kcn/kcn-hung-phu-1,2026-09-10
kcn-hung-phu-2,KCN Hưng Phú 2,can-tho,Cần Thơ,Quận Cái Răng,67,False,False,False,https://kcn-kkt.com/kcn/kcn-hung-phu-2,2026-09-10
